Outbreak	Coronahit_rapid
dataType	resequencing_consistency_check
source	Nabil-Fareed_Alikhan
pmid	doi://10.1101/2020.06.24.162156
Organism	SARS-CoV-2
tree	https://raw.githubusercontent.com/globalmicrobialidentifier-WG3/datasets/master/datasets/trees/sars-cov-2-coronahit-rapid.dnd

SRArun_acc	biosample_acc	dataSetName	genBankAssembly	nucleotide	outbreak	sha256sumAssembly	sha256sumRead1	sha256sumRead2	sha256sumnucleotide	strain	suggestedReference
ERR4969324	ERS5446163	Coronahit_rapid	-	LR963323	NORW-EFFBF 	-	753fefaa0dcbb04ab1d4ca9daf907e97c1ce98f53210ec85455e448f7d4f9d7e	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0d49d25846b444c41073d7b0532debbf01a63271a81c5ef98191b10ad9c6a38f	NORW-EFFBF_CoronaHiT-ONT	FALSE	
ERR4969377	ERS5446192	Coronahit_rapid	-	LR963353	NORW-F0452 	-	ce329e5f042c33d848b4d1aff0d3122a0cb8f0a8634d1d4986356cee68ffc3c5	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	8e81265b0fa8041b578ae4997a478fbadf6028ecfc365b6b825731d2c4736ae1	NORW-F0452_ARTIC_LoCost	FALSE	
ERR4970060	ERS5446192	Coronahit_rapid	-	LR963353	NORW-F0452 	-	3a0768c3cfe243127bd4b526524ebfaeb7438b07ea31ab70cc2f301e53dcef0b	daf090a7875beeb09e0da355161fabb7970e28922aba7084c5546c0accffeca2	8e81265b0fa8041b578ae4997a478fbadf6028ecfc365b6b825731d2c4736ae1	NORW-F0452_CoronaHiT-Illumina	FALSE	
ERR4969355	ERS5446192	Coronahit_rapid	-	LR963353	NORW-F0452 	-	2dc560cbbbd63b4fc5f7183722af33ee4d98f8625f0788a11a7176a1724d661d	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	8e81265b0fa8041b578ae4997a478fbadf6028ecfc365b6b825731d2c4736ae1	NORW-F0452_CoronaHiT-ONT	FALSE	
ERR4969378	ERS5446157	Coronahit_rapid	-	LR963309	NORW-F0461 	-	bfbd59bc6c2ddacb036ad28e6a53ee54dd2035741f8c214a14f075521921ee50	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	390515b8009d656f87cbe721d9f3e7d278bf50dbf7b327e12a090688e00cb7c3	NORW-F0461_ARTIC_LoCost	FALSE	
ERR4970047	ERS5446157	Coronahit_rapid	-	LR963309	NORW-F0461 	-	d5b2f98aa76cac269edd3f56e03ddf5954824540ef1c786eb719945b4e3d64d1	39c5c71c40e75935bdc20ad81461bc9e00de27f404132f39f34b2e710be57c45	390515b8009d656f87cbe721d9f3e7d278bf50dbf7b327e12a090688e00cb7c3	NORW-F0461_CoronaHiT-Illumina	FALSE	
ERR4969312	ERS5446157	Coronahit_rapid	-	LR963309	NORW-F0461 	-	9e178b2528114628b51e7dc9062a3f70087f7c62fc9a88f42eb53975109e6d3d	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	390515b8009d656f87cbe721d9f3e7d278bf50dbf7b327e12a090688e00cb7c3	NORW-F0461_CoronaHiT-ONT	FALSE	
ERR4969388	ERS5446182	Coronahit_rapid	-	LR963327	NORW-F04BC 	-	dad505b5ad4599690b57286c57f93060b76e656ae57c1099fc819cf5da510146	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	83b5cfbe1a86ff91384139dedf966e907dc88ed1405e9e8051512a7475a816af	NORW-F04BC_ARTIC_LoCost	FALSE	
ERR4970058	ERS5446182	Coronahit_rapid	-	LR963327	NORW-F04BC 	-	d32e95fcb705d01e008214d6c03ce043cac4179d3ef0d08a22ba542576fed0ef	10df21e7c07bfc2810d4b22cf74243328f05debf7add3b9ebf70b60628fed79b	83b5cfbe1a86ff91384139dedf966e907dc88ed1405e9e8051512a7475a816af	NORW-F04BC_CoronaHiT-Illumina	FALSE	
ERR4969331	ERS5446182	Coronahit_rapid	-	LR963327	NORW-F04BC 	-	87eb5fe67848cc93c18002b9c15710b34682da6d47c9f4a387209edc0398941c	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	83b5cfbe1a86ff91384139dedf966e907dc88ed1405e9e8051512a7475a816af	NORW-F04BC_CoronaHiT-ONT	FALSE	
ERR4969432	ERS5446158	Coronahit_rapid	-	LR963361	NORW-F04DA 	-	46788eae83ad24f355d4d01a696171bb30c5017180383e2ea75e2e4cb48a38a2	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	c4c013799afa321b2d5769005e4476539f1e21f1c8b5101e6162a848d7d00b66	NORW-F04DA_ARTIC_LoCost	FALSE	
ERR4969200	ERS5446158	Coronahit_rapid	-	LR963361	NORW-F04DA 	-	77c187b0805b4c197e51b44ec4d914dae6117d4414c79176e1cb86fdd6083834	9d686c624d143c529e953241908bfd1ddfe2ecd443c84a1b0083e731e32e15c5	c4c013799afa321b2d5769005e4476539f1e21f1c8b5101e6162a848d7d00b66	NORW-F04DA_CoronaHiT-Illumina	FALSE	
ERR4969357	ERS5446158	Coronahit_rapid	-	LR963361	NORW-F04DA 	-	b7362a176783fa09293e99554488e89e980809e2322bab45ea3733a5d66f6643	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	c4c013799afa321b2d5769005e4476539f1e21f1c8b5101e6162a848d7d00b66	NORW-F04DA_CoronaHiT-ONT	FALSE	
ERR4969373	ERS5446154	Coronahit_rapid	-	LR963313	NORW-F0504 	-	f23608786cc0bbe47d310fe163f810f42064b873b6cf9a82077396837d385cc2	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	20b9f9ffcaaaadc788b98a9a868a7c4a841d468b4128953353036d30282f3b4d	NORW-F0504_ARTIC_LoCost	FALSE	
ERR4969192	ERS5446154	Coronahit_rapid	-	LR963313	NORW-F0504 	-	d156c0b916403ed18ed17334229d4f6d17befe099133bd6d7ab7460740c0b372	522974f9f9c01e415e8e31b04c179a646a9cfdff8e290f6bba4085f52f0641c4	20b9f9ffcaaaadc788b98a9a868a7c4a841d468b4128953353036d30282f3b4d	NORW-F0504_CoronaHiT-Illumina	FALSE	
ERR4969315	ERS5446154	Coronahit_rapid	-	LR963313	NORW-F0504 	-	326d410a742a35eba926abe1084e974d275989cb473d0b7e354cfbe8d0d0ffd7	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	20b9f9ffcaaaadc788b98a9a868a7c4a841d468b4128953353036d30282f3b4d	NORW-F0504_CoronaHiT-ONT	FALSE	
ERR4969380	ERS5446153	Coronahit_rapid	-	LR963333	NORW-F0513 	-	65025befdc66f7988c5e906087e7a4ae98e02a0b820ae4f4ac73b84bd9b4b704	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	f373c50a09b5d587e7dd1e29da05566b6211ee95b5249a1e15ae2f46a96a8b1b	NORW-F0513_ARTIC_LoCost	FALSE	
